2026-03-10 13:33:54.191 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 13:33:54.266 INFO  [main] c.d.l.LogisticsManagerApplication - Starting LogisticsManagerApplication using Java 21.0.9 with PID 25844 (E:\Java\l\logistics-example\backend\target\classes started by dell in E:\Java\l\logistics-example\backend)
2026-03-10 13:33:54.267 INFO  [main] c.d.l.LogisticsManagerApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 13:33:55.314 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-03-10 13:52:46.014 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 13:52:46.062 INFO  [main] c.d.l.LogisticsManagerApplication - Starting LogisticsManagerApplication using Java 21.0.9 with PID 27676 (E:\Java\l\logistics-example\backend\target\classes started by dell in E:\Java\l\logistics-example\backend)
2026-03-10 13:52:46.063 INFO  [main] c.d.l.LogisticsManagerApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 13:52:47.426 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-03-10 13:52:57.446 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 13:52:57.497 INFO  [main] c.d.l.LogisticsManagerApplication - Starting LogisticsManagerApplication using Java 21.0.9 with PID 5008 (E:\Java\l\logistics-example\backend\target\classes started by dell in E:\Java\l\logistics-example\backend)
2026-03-10 13:52:57.498 INFO  [main] c.d.l.LogisticsManagerApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 13:52:58.786 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-03-10 13:53:38.600 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 13:53:38.655 INFO  [main] c.d.l.LogisticsManagerApplication - Starting LogisticsManagerApplication using Java 21.0.9 with PID 18312 (E:\Java\l\logistics-example\backend\target\classes started by dell in E:\Java\l\logistics-example\backend)
2026-03-10 13:53:38.656 INFO  [main] c.d.l.LogisticsManagerApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 13:53:39.965 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-03-10 13:58:29.099 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 13:58:29.146 INFO  [main] c.d.l.LogisticsManagerApplication - Starting LogisticsManagerApplication using Java 21.0.9 with PID 6280 (E:\Java\l\logistics-example\backend\target\classes started by dell in E:\Java\l\logistics-example\backend)
2026-03-10 13:58:29.147 INFO  [main] c.d.l.LogisticsManagerApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 13:58:31.256 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-10 13:58:31.291 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-10 13:58:31.294 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-10 13:58:31.294 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-03-10 13:58:31.383 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
